0x01,0x50,2632-452,"Insteon Dimmer Module, Chile (915 MHz) "
0x01,0x51,2672-452,LED Bulb 240V (915 MHz) - Screw-in Base 
0x02,0x05,2486SWH8,KeypadLinc 8-button On/Off Switch 
0x02,0x06,2456S3E,Outdoor ApplianceLinc 
0x02,0x07,2456S3T,TimerLinc 
0x02,0x08,2473S,OutletLinc 
0x02,0x09,2456S3,ApplianceLinc (3-Pin) 
0x02,0x0A,2476S,SwitchLinc Relay 
0x02,0x0B,2876S,ICON On/Off Switch 
0x02,0x0C,2856S3,Icon Appliance Module 
0x02,0x0D,2466S,ToggleLinc Relay 
0x02,0x0E,2476ST,SwitchLinc Relay Countdown Timer 
0x02,0x0F,2486SWH6,KeypadLinc On/Off 
0x02,0x10,2475S,In-LineLinc Relay 
0x02,0x12,2474 S/D,ICON In-lineLinc Relay Companion 
0x02,0x13,2676R-B,ICON SwitchLinc Relay Lixar/Bell Canada 
0x02,0x14,2475S2,In-LineLinc Relay with Sense 
0x02,0x15,2476SS,SwitchLinc Relay with Sense 
0x02,0x16,2876S,ICON On/Off Switch (25 max links) 
0x02,0x17,2856S3B,ICON Appliance Module 
0x02,0x18,2494S220,SwitchLinc 220V Relay 
0x02,0x19,2494S220,SwitchLinc 220V Relay [with beeper] 
0x02,0x1A,2466Sx,ToggleLinc Relay [with Beeper] 
0x02,0x1C,2476S,SwitchLinc Relay 
0x02,0x1D,4101,Commercial Switch with relay 
0x02,0x1E,2487S,KeypadLinc On/Off (Dual-Band) 
0x02,0x1F,2475SDB,In-LineLinc On/Off (Dual-Band) 
0x02,0x25,2484SWH8,KeypadLinc 8-Button Countdown On/Off Switch Timer 
0x02,0x26,2485SWH6,Keypad Schedule Timer with On/Off Switch 
0x02,0x29,2476ST,SwitchLinc Relay Countdown Timer 
0x02,0x2A,2477S,SwitchLinc Relay (Dual-Band) 
0x02,0x2B,2475SDB-50,"In-LineLinc On/Off (Dual Band, 50/60 Hz) "
0x02,0x2C,2487S,"KeypadLinc On/Off (Dual-Band,50/60 Hz) "
0x02,0x2D,2633-422,"Insteon On/Off Module, France (869 MHz) "
0x02,0x2E,2453-222,Insteon DIN Rail On/Off (915 MHz) 
0x02,0x2F,2443-222,Insteon Micro On/Off (915 MHz) 
0x02,0x30,2633-432,"Insteon On/Off Module, Germany (869 MHz) "
0x02,0x31,2443-422,Insteon Micro On/Off (869 MHz) 
0x02,0x32,2443-522,Insteon Micro On/Off (921 MHz) 
0x02,0x33,2453-422,Insteon DIN Rail On/Off (869 MHz) 
0x02,0x34,2453-522,Insteon DIN Rail On/Off (921 MHz) 
0x02,0x35,2633-442,"Insteon On/Off Module, UK (869 MHz) "
0x02,0x36,2633-522,"Insteon On/Off Module, Aus/NZ (921 MHz) "
